text,label
suka tinggal di twin star hotel solo. seperti di rumah sendiri. pelayanan staf juga ramah. ,1
Keadaan nyata tdk sesuai dng gambar yg di publish. kok airy bisa kerjasama dng penginapan kelas spt ini ya? ,0
sprei tdk diganti.masih byk rambut dan bau.,0
"makin hari makin mahal aja hotel nya, dulu di bawah 230rb,skarang udah di atas itu,kalau makin mahal pelayanan di tingkat kan,masak check in kamar belum ada pernak pernik airy nya. dulu waktu harga 230 pelayanan nya oke.",0
Lokasi hotel di pusat keramaian dan dekat dengan pasar tradisional sehingga bagi yang menginginkan panganan khas setempat sangat terbantu. Menu sarapan hotel sangat bervariasi dan memuaskan. recommended hotel untuk liburan kalau sedang jalan-jalan ke samar,1
Kamarnya kurang baik,0
semuanya kurang ,0
kamar agak kotor dan kurang senyap serta ada kecoak,0
syedih listrik naik turun klo water heather on,0
pelayanan dan fasilitas kamar,0
"Nyaman,  staff kurang ramah ",0
having great services and strategic locations near culinary spots.,1
"Murah dan bersih, furnitur baru dan ranjang yang empuk, air hangat dan kamar mandi bersih, parkir luas, pintu gerbangnya harus anda tutup sendiri.",1
fasilitas kebersuhan kabar dan kerapian sangat buruk,0
"gak dapet air minum krn airminunnya galon d  bawah. g ada tisu toilet tisu kamar. katanya dr airi memang g ada tisu. kurang bersih juga.. g ad layanan kebersihan jadi klo nginep selama 3 malam berarti slm 3 malam kamar anda tidak di bersihkam. 
",0
"Kamar dilantai 4 dan harus naik tangga, wifi dikamar tidak ada, harus beli paket speedy",0
airy tidak dapat ditemukan.. saya sangat kecewa.. ,0
air panas gak ada dan Krant WC mati,0
"Tembok kotor berjamur, selimut kecil gak cukup buat 2 orang, toilet tidak bisa diflush, bau kamar lembab, ac berisik, lemari berdebu dan berjamur. Yang bagus cuma tv dan lokasinya yang tenang.",0
"air untuk mandi nya tidak bagus karena asin, pintu kamar mandi nya rusak, AC nya tidak dingin ",0
Perlu banyak yang di update,0
"kurang bersih, air kecil, bising suara dari luar",0
"minus
1. tidak ada telpon di kamar
2. tidak ada lemari di kamar
3. tidak ada pemanas air di kamar
4. tidak ada sandal di kamar
5. suara dari luar kamar masuk kedalam kamar
6. parkir sempit sekali dan tidak ada juru parkir

plus
1. kamar bersih 
2. kamar mandi oke
3. pelayanan oke",0
"ac tidak menyala, tidak ada stop kontak",0
hotelnya kurang terawat dan biasanya utk pemesenan via airy gratis snack di kamar tp khusus hotel ini tdk disediakan snack ,0
tidak bisa ganti hari,0
saluran TV nya hilang hilang,0
biasa aja...,0
kamar kecil sekali,0
tempatnya kurang bagus,0
"Ngk ad lemari ny y 






",0
"the room was comfort, big, and the facilities was good. strategic place in the center of city",1
"Tempatnya nyaman, hanya sarung bantal and seprei kurang bersih, di sarung bantal ada noda darah, dan di seprei ada noda kekuningan",1
Lift mati harus naik tangga lantai 3,0
Hotelnya seram,0
"Kamar bersih dan rapih., tapi untuk pelayanan di front office nggk banget. Sebenernya saya sudah sering baca mengenai petugas di front office ibu2 yg rambut pendek. Dan ternyata memang benar pelayanannya ga baik,tidak senyum,tidak ramah,saya lebih senang dengan wanita yg satunya lagi yg ada di foto hotel ini",0
"sinyal hape susah dlm kamar, tv apalagi untung dibantu wifi... ",0
Tempatnya baru bersih nyaman walau agak sedikit nyasar untuk cari tempatnya. Tapi lumayan strategis. good lah pokoknya.,1
"chek in lama. meskipun dapat snack dan minuman, gak ada bantal airy, gak ada air panas, selimutnya gak nyaman, remote tv gak berfungai, sepertnya kolam renang jarang dibersihkan. ac dingin, ada harga ada kualitas lah.",0
"shower mati deh ??
receptionisep kurang senyum ??",0
Ada kolam berenangnya dan pas banget kalau lagi cape bisa berenang.,1
Saluran AC yang ke kamar mandi tolong diperbaiki masalahnya gak enak banget lagi buang air kena tetesan air dari selang pembuangan ac. ,0
"penataan ruang kurang baik, kamr tidur sempit sementara kamar mandi besar. ruangan kirang bersih, bantal lepek, tempat tidur reyot",0
"kamarnya kecil tdk berjendela. kamar mandi baunya menyengat. tapi ac dingin, cek in dan cek out lumayan cepat",0
"kamar nya sangat2 mengecewakn,pintu kamar nya kaya pintu wartel,bukan pintu kayu selayak nya hotel2 yg lain,jendela nya dari dalam bukan diluar,trus jendela nya bisa di buka dri luar,lift nya superrrr kecil,kotor banget,banyak debu,tmpt tdur nya juga kecil tv nya kecil,kursi yg di loby bau banget,foto2 yg di app ga sebagus asli nya,super kecewa bgt",0
"kartu kunci pintu hrs di reset ulang setiap hari.
toilet kecil dan kesan kotor di hari pertama chek ini.",0
kamar tidak bersih.,0
"handuknya gak ada . remote AC rusak cuma bisa nyalain matiin , colokan cuma ada satu . kasurnya bikin gatel ?? . overall sedikit baguslah buat backpacker mah . tapi untuk balik lagi , kayanya saya gak deh . but makasih banget  buat mas mas yg jaga kostel nya .",0
"setting kamarnya biasa bukan airy room..gak ada snack nya
",0
"tempat tidur kotor,tempat tidur sempit.",0
"1. stop kontak dari yg tersedia 6 lubang, yg bisa dipake cuma 1 lubang, 2 lubang buat TV dan Kulkas . kok pelit listrik bgt, terus pas pake kompor listrik malah turun daya.
2. saluran air kamar mandi sering tersumbat, saya mandi sampe banjir meluap keluar pintu airnya!!
3. ga ada bantal biru khas airy, snack2 kualitas rasanya jauh dari biasanya. :(",0
"kamar agak lembab, perlengkapan mandi dalam keadaan basah, jadi kuatir kalo udah dipake orang sebelumnya",0
"mati lampu dan ga nyala nyala, dan garus turun ke lobby dulu baru bisa nyala lampunya :(",0
"WiFi tdk Ada tempat nya Kotor
 ",0
pintu rusak...,0
banyak hewan item2 kecil.. jadi bikin kurang nyaman.. mana kamar airy nya di pojokan.. kurang recommended ??,0
"AC Panas, Ubin kotor, seprai berdebu, Air bau",0
"kasurnya bunyi,  sprei banyak semutnya seperti tidak di ganti,  overall good ??
",0
"hotel jadul, dari masuk lobi bau lembab menyengat. lampu koridor agak redup jadi terkesan angker, jendela rusak ga bisa ditutup rapat. GA ADA AIR MANDI PANAS, air berbau, sarapan dikasih nasi kuning dianter ke kamar ga dikasih minum??????",0
Lantai kamar mandi licin bgt kyk gk pernh di bersihin,0
"Hotel tua... tp utk kamar 16 ini..flash toiletnya rusak, agak berisik ??. tidak ada wifi jg. ada lift jd aksesabilitasnya ok. ",0
"Kamar apek dan kurang kedap, tirai kamar mandi tidak bisa menutup, kopi & teh hanya di sediakan 1 di kamar padahal gulanya ada 4. Sarapan banyak yang sudah habis dan tidak diisi kembali padahal baru jam 7. Overall sepertinya diperlukan sedikit perbaikan.",0
"nginap 2 hari tapi kamarnya nggak dbersihkan, nggak ada air minum jg pas dihari 2,,",0
sangat kecewa dengan tv yg buram. ... percuma ada tv cuma pajangan..tidak bisa di toton. bikin sakit mat.. airy temapat lain bagus,0
pelayananya kurang.kebersihan kmr mandi kurang bersih.seprei kurang bagus tdk sesuai dgn hrga.,0
"Kamar bersih, rapi, snack dan air mineral lumayan, AC dingin normal, remote TV tidak bisa, pintu kamar dari bagian luar kaya bekas dicongkel, padahal waktu menginap 1 bulan yang lalu kondisi pintu bagus. Mohon agar ditingkatkan keamanan dan kenyamanan serta kebersihan di dalam kamar.",1
"handuk gak ada (dikasih sih tapi minta dulu), keset gak ada, colokan charger gak berfungsi, yg lain nya wajarlah dengan harga ""budget""..",0
Kamarnya bau,0
"tidak menyenangkan...saat dtg handuk
 blm ada Handuk dtg menjelang magrib itupun stlh diminta. Tidak mau menginap disini lagi.












",0
clean romm and new building . ,1
kmar kotor dan sempit,0
mati lampu dr pln .. lama perpindahan ke getset ...wifi gak stabil .. tingkatkan pelayanan nya . terima kasih ,0
"tidak ada ac tidak sesuai spesifikasi fasilitas 
",0
pegawai kurang ramah.. dan sempat bilang no booking tidak ada. pdahal saya bkn pertama kali pesan di airy. tolong tingkatkan lagi pelayanan nya,0
"check in nya lama, penyaringan air untuk MCK kurang bersih, tangga naik ke kasurnya ada yg retak agak ngeri diinjak, tapi saya suka design kamarnya minimalis, unik",0
"perlu pembangunan penginapan diperluas lagi, aliran airnya dijaga kelancarannya (kemarin tersendat-sendat), dan perlu variasi penyajian menu sarapan. Untuk sambutan tamu, snack dan kebersihan kamar sudah cukup baik.",0
Tempatnya sangat nyaman dan ekonomis,1
"saluran airnya agak mampet, air ada bau sedikit, lantai berminyak seperti tidak di pel, handuk kurang bersih seperti tdk di gnti..
mhn perbaiki kekurangannya",0
"kamar mandi nya kurang nyaman 
",0
Tv nya nggak ada siaran sama sekali.. Tolong diperbaiki ,0
"yang berkesan kamarnya luas n nyaman. yang harus di perbaiki siaran tv, pintu kamar mandi n airnya..",0
Karena ga bisa refund atau reschedule,0
perbaiki lagi jangan makin menurun baik fasilitas dan layanan,0
"Untuk kebersihan sudah lumayan, AC lumayan dingin tidak seperti pertama kali saya book kamar disini. Sprei juga baru dan bersih, mungkin cuma selimutnya saja yg perlu diganti karna sudah agak buras. Untuk barang dikamar seperti meja atau kelengkapan lain masih agak berdebu dan nampak seperti hotel tua karna perabotnya kelihatan rapuh.",0
"ini hotel lama. saya bayar mahal karena hi season. tapi pelayanan sagat tidak memuaskan. tv tidak dapat digunakan line telp mati. kamar sumpek. breakfast ketika mau minum teh dikatakan habis. paadahal baru jam 8 pagi. jadi 
ini pengalaman buruk saya  selama liburan di bandung 
melalui airy. marketing ok pelayanan buruk",0
kamarnya terlalu sempit. sulit untuk sholat. ,0
karna salah booking tanggal dan tidak bisa di reschedule,0
tolong di perhatikan lagi kelengkapan kamarnya ,0
"ruang d bwh wastafel patah, sangat tidak terawat. untuk snack, sudah ad yang expired.",0
Saat ujan ada tampias air masuk ke jendela. Selain itu baik,0
"sprei & selimut kotor, tv tdk jernih, lantai kurang bersih",0
"acnya kurang berfungsi, tidak dingin.",0
"saya kecewa,karena dialamat tersebut tidak saya temukan hotel nya, apakah hotel itu memang tidak ada atau salah entry alamat ? ketidaksengajaan dan mohon airy lebih memperhatikan kembali hotel yg jd partner airy, Mohon tanggapannya.",0
"Tempatnya nyaman, cuman pelayanan nya kurang. Awal cek in bilangnya kl sarapan di ganti saur, pas saur di tanya ktnya gada gabisa di ganti. ",0
bad sheetnya sangat tidak nyaman....warnanya sheet kuning...,0
airnya macet,0
terlalu sempit parkirnya dan dapat kamar di lantai 3,0
Oke sip. Tempat nyaman dan strategis.,1
kamar kecil.lantai licin.tdk tersedia keset kamar mandi dan tissue.resepsionis kurang ramah (tdk senyum) dan tdk langsung info password wifi (info stelah ditanya).untung pake promo 50% jd gak nyesel bgt.,0
"ac gak dingin,  terus alas tilamnya bolong-bolong,  wifinya gak nyampe kekamar,  kalau keluar ruangan baru bisa gunain wifi",0
"Hari pertama room blm di set airy, tidak ada varian buah saat sarapan, semoga lebih baik lg",0
Parkiran kurang terjaga keamananya,1
"Dr luar bagus ada kolam renang, balkon yg lgs ke kolam renang.
tp pas msk kmr, sy dpt kmr no.6, AC sering mati sendiri, udara yg dikluarkan ac agak bau.
aroma bantal jg kurang sedap.",0
"Saya dapet kamar di pojok, itu kamarnya redup lampunnya warnanya beda",0
Kecewa karena gagal curu.  Dan tidk jadi nginap.  Huhuuuuuu,0
kamar ditaro paling pojok paling atas,0
"kamarnya lembab, kamar mandi showernya ga bisa dipake krn karatan, ac bocor ",0
kamar yg diberikan tidak sesuai dengan yg ada di foto,0
"Pintu kamar mandi rusak, tidak bisa dikunci ditutup pun tidak bisa rapat. Stop kontak di end table samping kasur longgar tak bisa dipakai. ",0
Bangunan lama tapi cukup nyaman dekat dengan kuliner. ,1
"sempit, tv semut semua",0
Air dan lampunya suka mati,0
tidak ada selimut & handuk,0
Tempatnya nyaman dan bersih.,1
"kurang baik, ac kamar suka mati

",0
"Pelayanan kurang ramah dan cuek ,swower ga berpungsih dg baik kamar mandi licin dan hampir mau jatuh trus",0
"Kamar mandinya kotor, ada lumpur jadi harus saya siram dulu..sepertinya krn jumlah pegawainya kurang..",0
"pelayanannya terlalu lambat, sehingga saya menunggu terlalu lama. ",0
"dinding kamar baru dicat, jadi aroma catnya sangat menyengat saat saat stay di sana, tdk ada air panas pdhl infonya di aplikasi ada",0
Tidak ada peralatan mandi (handuk sikat gig dll),0
"Mendapat kamar di belakang paling ujung, lampu tidak terang, seram. Kamar seperti tidak pernah dipakai, sprei kurang bersih, kamar tidak rapi, lembab berdebu, tv cembung, meja rias tidak ditempatkan semestinya, lampu kamar ditaruh dimeja rias sehingga mengganggu sekali. Air panas tidak berfungsi, interior perlu diperbarui. Terkesan horor",0
"kebetulan sy mendapaf kamar yg berbeda dgn gambar.. tp fasilitas ok. hanya saja terlalu berisik dan kebersihan perlu ditingkatkan
",0
"kurang bersih plus kasur nya apek banget, bolong habis dimakan rayap, tidak dikasih sprei.. untk ukuran harga segitu masih kemahalan.. ",0
kamar nya kurang ramai terlalu di tempat sepi,0
"Pintu kamar mandi bolong, cs ga siaga di tempat, plafon bocor dan warnanya gak banget. trus banyak bolong dimana2 kayak hotel melati.",0
"kurang berkenan. kamar banjir, not solution.. sarapan tdk ada pilihan..  nilai 5",0
"tidak sesuai dg promosi di airy room
",0
"air panas di kamar mandi ga nyala. udh dilaporkan bbrapa kali tp ga direspon. resepsionisnya kurang ramah dan terkesan cuek.
kebersihan bagus.",0
Sangat tidak nyaman??,0
PAYAH !! ,0
Sedikit terganggu dengan para housekeeping yang ngobrol di pagi hari dan terdengar sampai kedalam kamar. Jadi pikir ulang untuk menginap disini lagi.,0
toilet rusak dan minta ganti kamar tidak dipernolehkan alasan penuh semua ,0
"ada harga ada rupa, ",0
"sangat kecewa dengan fasilitas hotel ini. pagi hari airy nya gak mengalir. perlu beberapa jam smpai airnya mengalir kembali, menghambat kami yang mau mandi dan buang air. makanannya kurang rasa. tapi lokasinya strategis dekat dengan pantai.",0
"Kamar minimalis, tapi oke dan recommended.",1
"sangat tidak memuaskan air berbau dan berwarna,kotoran TDK mau terbuang 
",0
"tempat tidur sudah saatnya diganti dengan yg baru, sudah tidak nyaman",0
Not recommended hotel. Hotelnya tua dan tidak terawat. Tidak ada hot water. Sangat disayangkan.,0
"berkesan: kamar yang diberikan nyaman dengan ac yang dingin tetapi fasilitas kamar mandi. kurang baik: yang perlu diperbaiki keramahan dari karyawan airy sudirman 34 bogor 
menagernya sangat judes tidak bersahabat
",0
"nice room, love it, good food and decdnt price at room service, good breakfast",1
"Sudah telepon hotel 2 kali H-2 dan H-1 menanyakan apakah tersedia air panas karena sebelumnya ada kendala air panas di hotel dan Reception menginformasikan tersedia air panas. Saat tiba di hotel air panas tidak tersedia dengan alasan rusak dan tidak dapat diperbaiki hingga waktu check-out, lampu tengah kamar mati, AC tidak dingin.",0
"mantap banget,,ramah dan dekat ma kuliner",1
semua bagus. sayangnya tidak ada penjaganya kamar banyak lalat dan nyamuk.,1
"ternyata kalau mau berenang, kita harus bayar sama property. dan disini gak ada aturan gitu. kecewa !!!!! jadi merasa ketipu",0
"Price to performancenya oke banget, murah dengan fasilitas yang sangat lengkap and bersih",1
snack nya gak di kasih...awalnya handuk cuma dikasih 1..tp setelah minta baru dikasih 2,0
Kamar bersih. Kamar mandi bersih. AC dingin. WiFi lancar. Semuanya oke. Hanya tempat tidurnya kurang empuk. Cuma itu saja kurangnya. Selebihnya oke,1
"tv dikamar mati, kamar kurang bersih",0
pelayanan baik tp maaf kondisi kamar dan pengaturan parkir mohon diperbaiki,0
"fasilitas kamar, dll bagus,rapi dan bersih tetapi pelayanan salah satu receptionist/cs yang wanita sangat judes dan kurang baik...  
mohon untuk di bina lagi supaya kedepannya lebih baik lagi",0
"note : tidak ada sabun, jauh dari warung ataupun tempat makan",1
"kamar berdebu bgt, sarung bantal kotor,lantai kotor. istri lgsg alergi",0
"Overall good , kebersihan terjaga tiap berapa jam skali ada pak? yg nyapu. Tp kurang ada keamanannya,saya kehilangan sebuah sepatu di depan kosan. semoga hal ini ga terulang lagi atau terjadi kembali di tamu lain. tq",0
"service bagus sekali (reception, housekeeping, pantry) , sayang management maintence nya kurng baik. Housekeeping tdk d lengkapi dgn perlengkapan safety (sarung tangan, masker), bbrp kamar AC tdk berfungsi dgn baik, saat hujan jendela rembes air,  Makanan enak. Mohon d perbaiki , manager.",0
"kamar bersih, simple dan rapi serta sesuai value for money nya",1
"kamar berdebu dan bau lembab, bikin badan gatel.  flush WC ga berfungsi, wastafel mampet, lampu ada yg ga bisa nyala, telepon hotel ga bisa, wifi gabisa. Tapi pelayanannya baik ramah, hanya ga di dukung sama fasilitas aja. Ga mau nginep full krn keburu ga nyaman duluan",0
"Kamar mandi bocor, air menggenang sampai ke ruang tidur.. temboknya kotor, suasananya tdk nyaman",0
"Baik, hanya untuk kamar yang saya tempati flush toiletnya kurang kencang. Yang saya suka untuk fasil",1
"Kurang baik
",0
ac tidak dingin dan kamar nya tidak kedap suara,0
Pengalaman saya menginap menyenangkan. Kamar nya bersih. Layanannya ramah daaan wifi juga berfungsi baik! Biasanya hotel itu wifi nya jelek sinyalnya tapi ini sangat bagusss. Dengan harga affordable pokonnya oke lah,1
"Ruangan kotor, debu-debu tebel banget. Pintu rusak. Tapi lumayan deket pantai.",0
"pas menginap hotel lagi direnovasi, berisik dan bau lem....",0
"shower agak rusak, kamar mandi nya kurang nyaman.",0
"pertama check in,udah di sambut operator yg jutek ( cwo rambut panjang), kyk gk sneng kl ad yg check in via airy ato emg org ny sinis gt. kamar byk nyamuk n lainnya mayan lah untuk harga sgtu jgn ngarepin lebih kcuali operator yg lbh ramah aja.",0
sangat baik.. tempat bersih   ,1
kebersihannyankurang....dan kurang perawatan hotelnya,0
memilih hotel ini karena dekat lokasi wisuda suami :) tempatnya nyaman dan bersih ada sajadah dan al-qur'an,1
"kebetulan kamar yang saya tempati swing ac nya rusak jadi ruangannya tidak berasa dingin dan salah satu bed cover nya bau apek, untuk yg lainnya ok.",0
Kurang sesuai dengan gambar,0
kamar yang saya pesan tdk sesuai dgn pesanan...saya di ksh kamar penganti yg jorok. dan smp jam 7.30 mlm blm ada kamar yg saya pesan. akhirnya saya tdk jadi tdr. ,0
"toilet jorok, tidak disediakan tissue, cemilan tidak diisi ulang",0
iyya,0
"kondisi tempatnya kurang baik dibandingkan tempat sekelasnya.
ini adalah kos2an bertingkat, namun sikonnya nampak sangat padat penghuni, kurang terawat, dan menyedihkan :( ",0
Agak kecewa karena WiFi lantai 3 nya tidak bisa diakses. Wifi lantai 2 putus nyambung.  Kalau kamar sudah mantap bersih Dan lengkap ??,0
"Bersih,nyaman,fasilitas ok,utk menu sarapan lumayan deh",1
wifi bermasalah..kamar mandi bau...,0
Pintu wc nya rusak ,0
kunjungan kedua gak oke. dpt kamar dan kmr mandi yg berbau gak sedap. air panas gak nyala. shower kecil. tv semut semua,0
Cukup membantu,0
kurang sedap baunya ?? ACnya gak full cuma rasa kipas aja ??,0
"suka kamarnya luasnya pas furniture bagus, tp sayang lantai tidak bersih ,yg ngepel asal""an jd licin ,kamar mandi jorok sperti gk pernah di sikat,bau tak sedap, spreinya sudah tidak putih lagi..tolong donk kebersihan ditingkatkan lagi... menghargai orang yang menginap dan kita menginap tidak gratis... kalau kita nyaman pasti kita akan menginap lg.",0
"gk sesuai gambar ?? diksh kamar yg jeleg, cuma kmar mandinya aja bersih",0
"order tentu liat foto. tp ternyata dg alasan sisa beberapa kamar, kamarnya diluar ekspektasi. rumah tua, bed tua, tv asal2@n. bahkan tidak ada tuh meja resepsionis layaknya penginapan. bangunan utama oke. tp bersiap2 aja kita seperti namu keorang yg gak kita kenal. ngetok pagar, pintu,..... dan kalau ngarep mau kuliner, sulit dan jauhhhhjh.",0
Mesti harus ganti kamar... soalnya kamar yg pertama ac nya gak dingin.. tissue gak tersedia di kamar..,0
"lampu gelap, remote tv ga ada, air panas jg ga nyala... kondisi tmpt tidur kurang bersih. banyak yg merokok di lorong... ",0
Saya pesen (booking) yg 1 bed tp malah dikasih yg 2 bed...mgkn lebih baik kalau anda kasih 3  atau 4 bed untuk saya.,0
"semarang bnyk tmpt makan enak jadi daripada dkasih sarapan yg brkesan ""daripadalah"" lebih baik  sediakan tekopemanas listrik. krn itu sprti khasnya airy yaitu fasilitas teko listrik dtiap kamar.  tdk dsediakn gelas hrs minta lwt tlp dikmr, tpi tlp nya mati. tamu hrs jalan kluar kmr utk abil air panas...??. pintu  wc gak bisa ditutup, pintu kmr ??",0
"Sarung bantal, sprei and selimutnya bau banget kyk gak diganti. Tapi katanya udh diganti. Trus minta diganti katanya itu tgjwb shift kedua. Payah aah",0
zonk,0
"Para karyawannya berisik di meja depan, banyak nyamuk dan kamar mandi tidak bersih, kamar kecil dan pengap",0
"sangat kecewa karena tidaksesuai di photo ,air kamar mandi mati ketika mau ditempati",0
"tidak ada televisi, shower kamar mandi rusak",0
Tidak didukung dengan snack khas airy dan perlengkapan mandi seperti shampo khas airy,0
"koq gak ada lagi fasilitas airy di kamar seperti snack, dll",0
gak ada sarapan...,0
"Tidak bisa tidur,bunyi air didpn kamar 101 sangat2 menganggu,toiletnya juga bau

",0
"bangunan tua, sdh perlu renov, overall oklah ",0
